age,income,year
18,75.04315401735154,2006
24,70.47601964694451,2004
45,130.98217737746066,2003
43,154.68529299563002,2003
50,75.04315401735154,2005
54,127.11574381218446,2008
44,169.5285380366795,2009
30,111.7208493609888,2008
41,118.88435933988579,2006
52,128.68048822062414,2004
45,117.14681691480487,2007
34,81.28325328425272,2007
35,89.49247951800011,2005
39,134.70537511887878,2003
54,134.70537511887878,2009
51,90.48191335664015,2009
37,82.6796372966372,2003
50,212.84235231571145,2006
56,129.15669300470367,2007
37,98.59934386038917,2003
38,200.543262324662,2003
40,50.40666086126597,2005
75,85.38394037898266,2009
40,160.6424754082633,2007
38,94.07271474570051,2006
43,84.04595765399237,2006
34,65.1108537153447,2004
57,116.26532406250342,2008
18,70.47601964694451,2003
55,195.67630799045318,2004
51,101.4020523029919,2005
33,81.28325328425272,2008
34,111.7208493609888,2005
36,89.88004678111064,2006
56,87.98103278560542,2003
70,87.98103278560542,2006
25,103.90247060316008,2004
32,105.92781077506274,2006
27,66.2294082943902,2003
28,34.6074177301288,2004
27,109.83398564219921,2007
43,45.28216999402201,2004
50,73.77574327469462,2005
39,81.28325328425272,2004
52,154.68529299563002,2008
57,176.9896504898766,2007
25,66.2294082943902,2006
33,116.26532406250342,2006
57,200.543262324662,2005
71,101.82435207567953,2008
23,35.03342132149954,2003
30,114.47571329034717,2009
22,81.28325328425272,2004
59,200.543262324662,2006
28,148.4131591025766,2003
61,99.68946369848636,2004
34,111.7208493609888,2003
43,152.83880099118213,2005
54,117.14681691480487,2006
69,77.73760330397812,2005
41,87.98103278560542,2004
48,125.52549843383584,2003
49,123.33610396205889,2003
42,158.2946214277908,2009
37,200.543262324662,2003
55,99.68946369848636,2004
21,70.47601964694451,2008
58,94.07271474570051,2004
31,81.28325328425272,2006
25,81.28325328425272,2006
32,100.76427284210669,2006
40,94.07271474570051,2009
44,99.68946369848636,2003
23,81.28325328425272,2006
63,113.56708956975103,2003
44,87.98103278560542,2008
47,128.68048822062414,2005
61,106.72397762529879,2004
55,66.04469423180564,2009
24,51.521956314716036,2003
42,85.38394037898266,2007
25,76.89360251761123,2006
34,90.48191335664015,2004
53,68.0764282889521,2009
53,130.98217737746066,2009
70,127.90123297911782,2009
47,131.22459375509612,2004
46,99.68946369848636,2003
33,76.89360251761123,2003
34,107.90392386687648,2005
22,81.28325328425272,2006
74,99.68946369848636,2009
40,98.59934386038917,2003
45,200.543262324662,2006
43,156.50351088263324,2009
33,144.94436498051633,2005
62,118.88435933988579,2009
37,121.43031382262248,2008
54,111.7208493609888,2004
34,68.74808773376687,2005
50,114.47571329034717,2008
46,95.23071256698191,2006
41,87.98103278560542,2007
63,64.27439722063265,2003
38,128.68048822062414,2007
35,114.47571329034717,2006
29,112.64889634210017,2009
66,81.28325328425272,2008
37,75.89548482281027,2004
39,112.13692299221415,2006
42,85.38394037898266,2003
51,94.07271474570051,2007
55,114.47571329034717,2009
51,176.9896504898766,2006
49,101.82435207567953,2005
42,91.69922611170422,2006
43,86.69515482894022,2009
38,162.94646074466428,2006
59,139.21378813866397,2008
57,95.23071256698191,2009
25,66.9616443217359,2005
49,131.19432361168697,2004
41,90.48191335664015,2004
38,114.47571329034717,2009
61,79.12808449562974,2003
49,104.5917379249181,2007
52,132.48782112612304,2008
43,141.7751723331802,2007
60,123.08969984794346,2008
46,134.70537511887878,2005
21,55.76739050849227,2004
61,106.92181409121146,2009
32,118.88435933988579,2007
58,87.98103278560542,2004
35,88.92960663679132,2003
26,81.28325328425272,2004
32,94.07271474570051,2006
37,106.92181409121146,2003
22,59.097064081589075,2007
51,65.1108537153447,2005
44,120.58943653040211,2004
35,157.70052772573715,2005
60,129.4536445766255,2004
40,176.9896504898766,2007
35,59.097064081589075,2004
35,94.07271474570051,2007
47,134.70537511887878,2008
43,81.28325328425272,2003
33,81.28325328425272,2003
60,153.45751530896138,2003
38,136.87636763518367,2008
53,75.04315401735154,2005
55,130.2208323587774,2004
57,104.92150653366392,2003
64,49.55533812152264,2005
43,123.90856759795726,2007
35,123.08969984794346,2008
54,78.15516140793403,2008
45,73.77574327469462,2007
58,138.29912692088266,2003
48,127.11574381218446,2007
46,68.74808773376687,2003
46,84.39111474778001,2004
55,85.38394037898266,2009
51,128.68048822062414,2006
49,70.47601964694451,2005
34,76.89360251761123,2008
53,148.4131591025766,2007
40,148.4131591025766,2004
50,175.96088313040124,2009
37,98.59934386038917,2006
39,145.14360117691106,2003
52,99.68946369848636,2004
50,141.08887439126974,2003
48,123.08969984794346,2006
47,129.4536445766255,2006
27,111.7208493609888,2005
39,103.90247060316008,2006
44,118.88435933988579,2009
37,151.59148423981398,2003
52,101.82435207567953,2006
26,99.68946369848636,2004
39,99.68946369848636,2008
25,99.68946369848636,2006
31,94.07271474570051,2005
58,152.21680682710604,2004
30,104.92150653366392,2005
27,65.1108537153447,2004
40,95.23071256698191,2003
55,173.87949331001195,2006
35,193.41107053096852,2009
48,114.47571329034717,2008
29,160.6424754082633,2006
25,89.49247951800011,2005
40,120.58943653040211,2004
27,73.77574327469462,2006
44,127.11574381218446,2006
49,118.88435933988579,2006
22,34.6074177301288,2003
45,114.47571329034717,2007
33,85.38394037898266,2007
49,141.7751723331802,2006
39,130.98217737746066,2005
25,73.77574327469462,2007
29,130.98217737746066,2005
37,75.04315401735154,2006
35,154.99026027681182,2008
46,104.92150653366392,2009
58,73.11830692386403,2008
39,123.08969984794346,2003
41,157.70052772573715,2008
29,81.28325328425272,2008
37,107.2560621284292,2009
62,78.98167451629936,2009
27,73.77574327469462,2008
37,94.07271474570051,2003
56,99.68946369848636,2006
36,176.9896504898766,2004
23,73.77574327469462,2005
46,99.68946369848636,2003
26,94.07271474570051,2009
43,95.23071256698191,2006
36,127.11574381218446,2007
54,99.68946369848636,2003
62,95.68881190673713,2003
40,109.83398564219921,2006
53,118.88435933988579,2006
48,176.9896504898766,2007
23,61.18752643399147,2004
34,81.28325328425272,2009
55,81.28325328425272,2006
59,81.28325328425272,2007
60,55.76739050849227,2007
49,75.35567931800914,2009
45,130.98217737746066,2006
31,43.735111677982104,2006
34,114.47571329034717,2004
26,114.47571329034717,2005
22,81.28325328425272,2007
40,68.57216570227378,2004
41,109.83398564219921,2009
36,97.49329404539341,2006
38,62.39835472056851,2007
48,97.49329404539341,2003
47,134.70537511887878,2006
47,61.18752643399147,2005
35,118.88435933988579,2007
49,65.1108537153447,2008
40,109.83398564219921,2004
32,104.92150653366392,2004
57,73.77574327469462,2008
56,141.7751723331802,2008
73,90.48191335664015,2009
29,73.77574327469462,2007
49,134.70537511887878,2003
30,109.83398564219921,2009
29,91.69922611170422,2008
36,95.23071256698191,2004
39,156.50351088263324,2009
48,104.92150653366392,2007
45,99.68946369848636,2006
50,54.598150033144236,2004
42,32.36641317485487,2003
58,118.88435933988579,2007
48,109.83398564219921,2007
48,109.83398564219921,2003
45,118.88435933988579,2005
41,110.7826502762544,2007
27,93.55726734793063,2008
44,109.83398564219921,2004
32,118.88435933988579,2003
46,118.88435933988579,2006
52,52.15617116991475,2005
22,43.735111677982104,2003
53,117.14681691480487,2004
34,118.88435933988579,2008
38,148.4131591025766,2009
42,101.82435207567953,2009
25,94.07271474570051,2005
29,86.69515482894022,2004
28,141.7751723331802,2005
46,66.9616443217359,2005
55,118.88435933988579,2007
56,105.76763962275824,2004
41,118.88435933988579,2005
61,176.9896504898766,2009
47,65.1108537153447,2003
52,85.38394037898266,2006
27,72.15045568157132,2004
33,89.2428846644714,2007
58,65.1108537153447,2003
27,145.8051633746247,2005
52,87.98103278560542,2009
45,41.099803630119425,2003
22,68.39565380354551,2003
25,81.28325328425272,2005
25,73.77574327469462,2004
41,130.98217737746066,2005
54,148.4131591025766,2006
23,81.22674631202302,2007
36,63.18886100374613,2006
31,94.07271474570051,2004
52,92.65813016685972,2006
46,76.89360251761123,2007
45,118.88435933988579,2007
40,79.85490030934672,2009
33,86.69515482894022,2004
42,133.97150007069519,2007
41,125.52549843383584,2007
25,92.89584478949662,2007
24,72.15045568157132,2005
24,118.88435933988579,2006
51,70.47601964694451,2008
41,127.11574381218446,2004
42,114.47571329034717,2009
30,87.98103278560542,2005
55,54.598150033144236,2009
23,84.04595765399237,2008
60,85.38394037898266,2003
40,141.7751723331802,2003
41,110.7826502762544,2008
80,79.85490030934672,2003
53,97.49329404539341,2005
40,171.7651326275075,2004
35,137.48124783166278,2009
55,75.35567931800914,2009
24,73.77574327469462,2008
39,148.4131591025766,2007
30,95.23071256698191,2003
68,87.98103278560542,2005
54,109.83398564219921,2004
27,81.28325328425272,2008
34,118.88435933988579,2005
53,127.11574381218446,2004
48,85.38394037898266,2004
59,81.28325328425272,2005
30,118.88435933988579,2004
45,163.51586397623814,2007
39,104.92150653366392,2007
45,99.68946369848636,2008
30,138.29912692088266,2003
57,176.9896504898766,2005
53,136.87636763518367,2004
42,186.87667762800666,2009
23,90.48191335664015,2005
58,85.38394037898266,2009
43,145.14360117691106,2005
33,120.58943653040211,2003
56,101.82435207567953,2004
37,108.87452583471249,2006
41,38.6059145209601,2009
33,92.89584478949662,2007
50,126.32388070978574,2007
43,191.57368354841194,2003
53,155.90050614676707,2004
37,87.98103278560542,2005
20,59.097064081589075,2006
26,73.77574327469462,2003
29,90.48191335664015,2003
